type,entry_price,stop_loss,take_profit,position_size,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl_points,pnl_currency,exit_reason
BUY,2172.47,2167.9916892792016,2181.426621441596,23.07,2181.426621441596,2024-03-13 22:00:00,closed,False,False,0,2167.9916892792016,2024-03-14 08:00:00,-4.478310720798163,-103.31462832881363,SL/TP
BUY,2171.85,2167.7814970317027,2179.987005936594,24.63,2179.987005936594,2024-03-15 11:45:00,closed,False,False,0,2167.7814970317027,2024-03-15 13:00:00,-4.068502968297253,-100.20722810916133,SL/TP
BUY,2171.14,2167.047566318152,2179.324867363696,24.48,2179.324867363696,2024-03-15 12:15:00,closed,False,False,0,2167.047566318152,2024-03-15 13:00:00,-4.092433681847979,-100.18277653163852,SL/TP
BUY,2161.03,2157.5115389776543,2168.066922044692,27.91,2168.066922044692,2024-03-18 13:45:00,closed,False,False,0,2157.5115389776543,2024-03-18 15:15:00,-3.518461022345946,-98.20024713367535,SL/TP
BUY,2160.99,2156.0026000843136,2170.9647998313717,19.49,2170.9647998313717,2024-03-18 17:15:00,closed,False,False,0,2156.0026000843136,2024-03-18 18:00:00,-4.987399915686183,-97.20442435672369,SL/TP
BUY,2188.07,2188.57,2219.6962850395316,6.09,2219.6962850395316,2024-03-20 21:15:00,closed,True,False,0,2219.6962850395316,2024-03-21 00:15:00,31.626285039531467,192.60407589074663,SL/TP
BUY,2186.24,2186.74,2212.0630589302414,7.45,2212.0630589302414,2024-03-20 22:45:00,closed,True,False,0,2212.0630589302414,2024-03-21 00:15:00,25.823058930241586,192.3817890302998,SL/TP
BUY,2186.24,2186.74,2212.0630589302414,7.45,2212.0630589302414,2024-03-20 23:00:00,closed,True,False,0,2212.0630589302414,2024-03-21 00:15:00,25.823058930241586,192.3817890302998,SL/TP
BUY,2206.25,2199.975933373253,2218.7981332534932,16.26,2218.7981332534932,2024-03-21 08:30:00,closed,False,False,0,2199.975933373253,2024-03-21 10:30:00,-6.274066626746844,-102.01632335090369,SL/TP
BUY,2202.8,2194.1966633714264,2220.006673257148,11.86,2220.006673257148,2024-03-21 05:45:00,closed,False,False,0,2194.1966633714264,2024-03-21 15:45:00,-8.603336628573743,-102.03557241488458,SL/TP
BUY,2203.09,2183.9789450671087,2241.312109865783,5.34,2241.312109865783,2024-03-21 02:00:00,closed,False,False,0,2183.9789450671087,2024-03-21 16:00:00,-19.11105493289142,-102.05303334164019,SL/TP
BUY,2174.75,2168.7285561991744,2186.7928876016513,16.43,2186.7928876016513,2024-03-22 16:15:00,closed,False,False,0,2168.7285561991744,2024-03-22 17:00:00,-6.021443800825637,-98.9323216475652,SL/TP
BUY,2176.33,2171.021633478087,2186.946733043825,18.45,2186.946733043825,2024-03-25 04:30:00,closed,False,False,0,2171.021633478087,2024-03-25 05:30:00,-5.308366521912831,-97.93936232929173,SL/TP
BUY,2176.44,2170.776452555375,2187.7670948892505,17.12,2187.7670948892505,2024-03-25 16:30:00,closed,False,False,0,2170.776452555375,2024-03-25 21:00:00,-5.663547444625237,-96.95993225198407,SL/TP
BUY,2177.08,2171.5908187849914,2188.058362430017,17.67,2188.058362430017,2024-03-25 17:00:00,closed,False,False,0,2171.5908187849914,2024-03-25 21:00:00,-5.489181215008557,-96.99383206920122,SL/TP
BUY,2192.13,2184.006083722578,2208.377832554844,11.7,2208.377832554844,2024-03-26 12:00:00,closed,False,False,0,2184.006083722578,2024-03-26 15:30:00,-8.123916277422268,-95.04982044584052,SL/TP
BUY,2191.65,2181.4612529393426,2212.027494121315,9.33,2212.027494121315,2024-03-26 15:00:00,closed,False,False,0,2181.4612529393426,2024-03-26 15:30:00,-10.188747060657533,-95.06101007593479,SL/TP
BUY,2190.41,2190.91,2204.912115866947,12.85,2204.912115866947,2024-03-27 15:30:00,closed,True,False,0,2190.91,2024-03-28 10:00:00,0.5,6.425,SL/TP
BUY,2190.29,2190.79,2203.685290801838,13.91,2203.685290801838,2024-03-27 17:30:00,closed,True,False,0,2203.685290801838,2024-03-28 12:15:00,13.3952908018382,186.32849505356938,SL/TP
BUY,2212.65,2206.530299898956,2224.889400202089,15.53,2224.889400202089,2024-03-28 13:15:00,closed,False,False,0,2206.530299898956,2024-03-28 14:30:00,-6.119700101044145,-95.03894256921558,SL/TP
BUY,2208.31,2208.81,2234.503012730122,7.19,2234.503012730122,2024-03-28 15:30:00,closed,True,False,0,2234.503012730122,2024-03-28 22:45:00,26.193012730122064,188.32776152957766,SL/TP
BUY,2261.74,2255.9315440636387,2273.3569118727214,16.53,2273.3569118727214,2024-04-01 10:15:00,closed,False,False,0,2255.9315440636387,2024-04-01 11:45:00,-5.808455936361042,-96.01377662804803,SL/TP
BUY,2300.77,2295.2013715839885,2311.907256832023,17.07,2311.907256832023,2024-04-04 05:15:00,closed,False,False,0,2295.2013715839885,2024-04-04 08:45:00,-5.5686284160115065,-95.05648706131642,SL/TP
BUY,2294.41,2294.91,2310.772456206182,11.62,2310.772456206182,2024-04-03 21:15:00,closed,True,False,0,2294.91,2024-04-04 09:45:00,0.5,5.81,SL/TP
BUY,2299.47,2294.4506363035916,2309.508727392816,18.93,2309.508727392816,2024-04-04 07:00:00,closed,False,False,0,2294.4506363035916,2024-04-04 10:00:00,-5.019363696408163,-95.01655477300653,SL/TP
BUY,2299.8,2300.3,2320.191358342698,9.14,2320.191358342698,2024-04-05 16:45:00,closed,True,False,0,2300.3,2024-04-05 17:15:00,0.5,4.57,SL/TP
BUY,2325.16,2313.1306125149354,2349.218774970129,7.75,2349.218774970129,2024-04-05 19:15:00,closed,False,False,0,2313.1306125149354,2024-04-08 01:15:00,-12.02938748506449,-93.2277530092498,SL/TP
BUY,2328.05,2318.0779345520245,2347.994130895952,9.35,2347.994130895952,2024-04-05 20:30:00,closed,False,False,0,2318.0779345520245,2024-04-08 01:00:00,-9.972065447975638,-93.23881193857221,SL/TP
BUY,2328.05,2318.0779345520245,2347.994130895952,9.35,2347.994130895952,2024-04-05 20:30:00,closed,False,False,0,2318.0779345520245,2024-04-08 01:00:00,-9.972065447975638,-93.23881193857221,SL/TP
BUY,2325.16,2313.1306125149354,2349.218774970129,7.75,2349.218774970129,2024-04-05 19:15:00,closed,False,False,0,2313.1306125149354,2024-04-08 01:15:00,-12.02938748506449,-93.2277530092498,SL/TP
BUY,2343.36,2330.2434739130936,2369.5930521738132,6.97,2369.5930521738132,2024-04-08 06:30:00,closed,False,False,0,2330.2434739130936,2024-04-08 15:15:00,-13.11652608690656,-91.42218682573872,SL/TP
BUY,2342.16,2330.8817807305254,2364.7164385389488,8.1,2364.7164385389488,2024-04-08 07:45:00,closed,False,False,0,2330.8817807305254,2024-04-08 15:15:00,-11.278219269474448,-91.35357608274303,SL/TP
BUY,2337.61,2327.245014853428,2358.3399702931447,8.81,2358.3399702931447,2024-04-08 10:30:00,closed,False,False,0,2327.245014853428,2024-04-08 15:15:00,-10.364985146572053,-91.31551914129979,SL/TP
BUY,2338.03,2338.53,2351.332727005199,13.32,2351.332727005199,2024-04-08 23:15:00,closed,True,False,0,2338.53,2024-04-09 05:00:00,0.5,6.66,SL/TP
BUY,2343.87,2344.37,2356.0772459954114,14.53,2356.0772459954114,2024-04-09 06:15:00,closed,True,False,0,2344.37,2024-04-09 10:00:00,0.5,7.265,SL/TP
BUY,2344.04,2344.54,2355.3431865980847,15.69,2355.3431865980847,2024-04-09 06:45:00,closed,True,False,0,2344.54,2024-04-09 10:00:00,0.5,7.845,SL/TP
BUY,2344.35,2344.85,2355.1572446982213,16.41,2355.1572446982213,2024-04-09 07:00:00,closed,True,False,0,2344.85,2024-04-09 10:00:00,0.5,8.205,SL/TP
BUY,2354.76,2355.26,2366.60232455913,15.02,2366.60232455913,2024-04-09 10:00:00,closed,True,False,0,2355.26,2024-04-09 14:00:00,0.5,7.51,SL/TP
BUY,2352.63,2353.13,2369.0860677418345,10.82,2369.0860677418345,2024-04-09 16:00:00,closed,True,False,0,2353.13,2024-04-09 17:30:00,0.5,5.41,SL/TP
BUY,2399.6,2392.4250862819167,2413.9498274361663,12.41,2413.9498274361663,2024-04-12 13:15:00,closed,False,False,0,2392.4250862819167,2024-04-12 14:15:00,-7.1749137180831895,-89.04067924141238,SL/TP
BUY,2399.88,2392.0210299533137,2415.5979400933734,11.33,2415.5979400933734,2024-04-12 10:45:00,closed,False,False,0,2392.0210299533137,2024-04-12 14:30:00,-7.858970046686409,-89.04213062895701,SL/TP
BUY,2387.87,2388.37,2404.512072742025,10.7,2404.512072742025,2024-04-12 04:30:00,closed,True,False,0,2404.512072742025,2024-04-12 16:45:00,16.642072742024993,178.07017833966742,SL/TP
